dis_price,dis_rate,main_category_name,ori_price,sub_category_name,title
9900,70,유아동/출산,9900,ALL,[앤디애플]봄오픈/아동복/티셔츠/레깅스/가디건/원피스/신학기
8900,69,유아동/출산,8900,ALL,[키스포]7900부터 봄신상오픈 주니어의류/초등팬츠/트레이닝복
16900,0,식품,16900,ALL,[비비고]비비고 사골곰탕 500g 16개
11900,45,식품,11900,ALL,[켈로그]허쉬 초코크런치 다크초코 보너스팩 (400g+100g) 3봉지
15400,10,식품,15400,ALL,[동원참치]동원 라이트스탠다드 참치 85gx15+ 과일퓨레or카놀라유
9900,70,패션의류,9900,ALL,[트라이]여성팬티/여자팬티/팬티/여성속옷/여자속옷/면
9900,69,패션의류,9900,ALL,여성 청바지 스키니 일자 부츠컷 배기 팬츠 빅사이즈
15900,70,패션의류,15900,ALL,떳다그녀 봄신상/원피스/맨투맨/블라우스/트랜치
19000,62,스포츠/자동차,19000,ALL,[레노마골프]레노마골프 S/S 인기남녀 BEST 의류 잡화 45종 모음전
16900,0,스포츠/자동차,16900,ALL,3D입체 면 마스크 화이트3개 검정 패션 자전거 연예인
119000,55,스포츠/자동차,119000,ALL,[만도]무료장착 만도F2(16GB)풀HD 블랙박스 나이트비젼 ADAS
79000,0,생활/주방/건강,79000,ALL,KF80 KF94 일회용 마스크 50매 손소독제 황사
16970,50,생활/주방/건강,16970,ALL,엠씨 안면부 여과식 방진 마스트 HM-2050 2급 묶음(20
12300,21,생활/주방/건강,12300,ALL,[릴리유]릴리유 퓨어그린 아기물티슈 캡 80매 10팩 E
9800,69,신발/잡화,9800,ALL,힐슈빌 신상 슬립온 통굽 키높이 스니커즈
7500,70,신발/잡화,7500,ALL,[카파키즈]카파키즈 새학기 아동 실내화/슬리퍼/운동화 42종
23680,11,신발/잡화,23680,ALL,[돔바][돔바] 하이포인트/리브/마노아/블레이크/가프/윈/프레이 스니커즈 택1
1659000,0,컴퓨터/전자,1659000,ALL,[트롬]LG인증점 트롬 스타일러 S5MBA 살균 스팀 5벌
499000,3,컴퓨터/전자,499000,ALL,[다이슨]본사 무선 청소기 V8 플러피  3/9일 출고
72000,4,컴퓨터/전자,72000,ALL,[위닉스](정품) 공기청정기필터 타워XQ500 XQ600필터 CAF-E0S4
499000,9,도서/음반,499000,ALL,[웅진주니어]웅진주니어 우리 50/NEW 세계 그림책 베스트 100 선택
140000,16,도서/음반,140000,ALL,아이프렌드한자 (한자학습앱+워크북) | 한국어문회 | 패키지별 구매가능
30600,0,도서/음반,30600,ALL,[EBS교육방송](대박선물)EBS 만점왕세트 만점왕 1-1 2-1 3-1 4-1 5-1 6-1 만점국사과 (2020)
312000,20,가구/침구,312000,ALL,[한샘]아임빅 수납침대 외 슈퍼싱글침대 특가
16900,69,가구/침구,16900,ALL,[쁘리엘르]1+1 레이스커튼 슬라브커튼 쉬폰커튼 코디커튼
139000,29,가구/침구,139000,ALL,[한샘]샘키즈 수납장 1305 솜사탕블루 외 모음딜
17000,0,여행,17000,ALL,휘닉스평창 스노우빌리지 종일권
84000,0,여행,84000,ALL,|최대20만원할인|아르떼 리조트 스파 풀빌라(경남 호텔/사천/남해/진주/함양)
9000,10,e쿠폰/티켓,9000,ALL,[메가커피](스마일클럽) 메가커피 1만원권
770,30,e쿠폰/티켓,770,ALL,[GS25](스마일클럽) Y)틈새라면(용기)
9700,3,e쿠폰/티켓,9700,ALL,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권1만원권(ID바로충전)
10900,69,화장품/헤어,10900,ALL,[비버리힐스폴로클럽](1+1)비버리힐스 폴로클럽 멀티이펙트 올인원모이스쳐
21400,0,화장품/헤어,21400,ALL,[뉴트로지나]딥 클린 포밍 클렌저 175g 3개
26900,10,화장품/헤어,26900,ALL,[트리플에스]약산성 트리플에스 탈모샴푸 2000ml+250ml (무료샘플)
4900,69,유아동/출산,4900,ALL,[팬콧키즈]10%할인쿠폰/신학기실내화/학생실내화/유아실내화
7900,58,유아동/출산,7900,ALL,[그린핑거]그린핑거 전상품 골라담기+복수구매시 해피머니상품권
12900,70,유아동/출산,12900,ALL,[팬콧키즈]팬콧키즈 아동 봄신상 맨투맨/레깅스/팬츠 + 22%쿠폰
20100,10,식품,20100,ALL,[동원참치]마일드참치 200g x 10캔 /참치캔/동원참치/반찬
49900,9,식품,49900,ALL,[농협]보성다향미20kg/쌀20kg 2019농협쌀/백미20kg/당일도정
23120,20,식품,23120,ALL,[스팸]스팸 클래식 200g 10개
15900,59,패션의류,15900,ALL,[반에이크]봄 오픈 신상 미리보기 최대 94% SALE
18000,10,패션의류,18000,ALL,[레노마 레이디스]10%추가할인 레노마레이디 1/2/3만원 균일가 득템전
12900,70,패션의류,12900,ALL,스위트바니 봄신상5900원~롱원피스티/맨투맨/박스티
109650,15,스포츠/자동차,109650,ALL,[아디다스오리지널](신세계영등포점패션관)남여공용 오즈위고(EE6999_OZWEEGO)
6900,65,스포츠/자동차,6900,ALL,[에이티에이]브랜드 반값찬스 브라탑/요가티/바지/트랙자켓
59000,0,스포츠/자동차,59000,ALL,[휠라]코트 에이스 1TM00645116
11900,50,생활/주방/건강,11900,ALL,센스물티슈 데일리 100매 10팩+10팩 민트 캡형
32000,0,생활/주방/건강,32000,ALL,라짱  - A01 필터마스크 50매 마스크 일회용마스크
34900,67,신발/잡화,34900,ALL,엘칸토  20SS 신학기슈즈세일 플랫/펌프스/스니커즈
9900,70,신발/잡화,9900,ALL,[비너스]비비안 외 팬티스타킹10매 고탄력 기모 타이즈 학생
16740,0,신발/잡화,16740,ALL,방역모자 투명안면보호 바이러스 코로나 예방모자
251450,6,컴퓨터/전자,251450,ALL,[제로](최대 199000)위닉스 공기청정기 제로3.0 AZGE500-JWK
129000,0,컴퓨터/전자,129000,ALL,라피타 IPL 레이저 제모기 제모의료기기 JOC-9000
699000,6,컴퓨터/전자,699000,ALL,[삼성전자]삼성 노트북5 NT500R5Z-K78BA 최종54만 가성비노트북
198560,13,도서/음반,198560,ALL,JYBOOKS 노부영 사이트 워드 48종 풀세트
67900,0,도서/음반,67900,ALL,(세트/앨범4종+포스터4종+지관통증정) 방탄소년단 (BTS) - MAP OF THE SOUL : 7
55700,7,도서/음반,55700,ALL,보림출판사 수개념 그림책 4종
8900,69,가구/침구,8900,ALL,모노데일리 3종 도톰매트리스커버 S/SS/D/Q/K 균일가
76900,23,가구/침구,76900,ALL,[포스트모던]최대20%쿠폰 컴퓨터책상 독서실책상 학생책상 책꽂이
9900,70,가구/침구,9900,ALL,( 1+1 ) 3중직 암막커튼/암막/커텐/거실/창문/커튼봉
27400,50,여행,27400,ALL,(10%카드할인)(당일사용불가/문자발송) 제천해브나인힐링스파 종일권(~20/2/29)/리솜스파/제천스파
342590,0,여행,342590,ALL,HOTEL INDIGO HELSINKI - BOULEVARD
77000,0,여행,77000,ALL,|최대20만원할인|하이원리조트 마운틴콘도(강원 호텔/정선/평창/횡성/강원랜드/스키장)
193000,3,e쿠폰/티켓,193000,ALL,[구글플레이](카드가능) 기프트코드 20만원 / 구글 기프트카드
2574000,0,e쿠폰/티켓,2574000,ALL,아이스크림홈런 26개월 학습권 + 스마일캐시 적립 + 2개월 수강권추가
28500,5,e쿠폰/티켓,28500,ALL,[CU](CU) 모바일금액권 3만원/ 실시간발송
18000,50,화장품/헤어,18000,ALL,이니스프리립밤핸드크림 UP TO 50 이베이 특별증정
19900,21,화장품/헤어,19900,ALL,[티엔]AC 토너 230ml + 로션 190ml
